sample_id	event_count
SP112973	41
SP112975	38
SP112977	24
SP112981	24
SP112983	103
SP112997	36
SP112999	17
SP1132	78
SP113926	5
SP114016	32
SP114032	83
SP114903	358
SP114906	126
SP114924	284
SP114930	102
SP114941	184
SP114966	160
SP114987	348
SP115057	8
SP115070	2
SP115073	8
SP115085	8
SP115093	7
SP115097	3
SP115105	5
SP115111	9
SP115114	9
SP115117	2
SP115125	5
SP115131	13
SP115162	29
SP115830	265
SP116221	5
SP116222	20
SP116223	27
SP116224	14
SP116225	9
SP116226	7
SP116229	73
SP116231	21
SP116256	42
SP116259	6
SP116265	26
SP116273	11
SP116278	9
SP116280	158
SP116282	20
SP116284	11
SP116286	15
SP116288	11
SP116290	24
SP116292	11
SP116294	9
SP116296	11
SP116298	6
SP116331	532
SP116333	90
SP116335	280
SP116341	89
SP116347	544
SP116353	253
SP116355	375
SP116357	263
SP116361	129
SP116365	225
SP116367	163
SP116369	170
SP116371	135
SP116373	209
SP116383	45
SP116391	10
SP116401	44
SP116409	41
SP116416	27
SP116424	13
SP116431	260
SP116442	3
SP116446	9
SP116450	42
SP116453	35
SP116456	88
SP116475	161
SP116487	102
SP116490	293
SP116523	63
SP116531	7
SP116542	16
SP116548	4
SP116550	6
SP116553	5
SP116557	6
SP116559	5
SP116562	24
SP116564	13
SP116571	77
SP116578	134
SP116596	163
SP116604	14
SP116606	63
SP116608	26
SP116612	49
SP116614	24
SP116616	12
SP116618	66
SP116622	9
SP116624	26
SP116627	17
SP116630	121
SP116635	74
SP116638	10
SP116642	33
SP116645	36
SP116648	59
SP116649	33
SP116652	11
SP116654	11
SP116657	106
SP116659	22
SP116663	66
SP116665	15
SP116668	21
SP116670	28
SP116672	20
SP116676	31
SP116679	17
SP116683	28
SP116686	10
SP116688	29
SP116690	46
SP116697	1072
SP116703	33
SP116709	27
SP116712	3
SP116718	12
SP116720	17
SP116723	6
SP116725	9
SP116726	40
SP116728	7
SP116730	7
SP116734	5
SP116736	1
SP116744	10
SP116746	4
SP116748	8
SP116752	3
SP116760	14
SP116764	2
SP116768	8
SP116770	7
SP116772	7
SP116776	4
SP116780	3
SP116789	3
SP116797	3
SP116802	5
SP116804	2
SP116812	8
SP116819	2
SP116835	2
SP116839	3
SP116848	4
SP116853	8
SP116857	3
SP116862	2
SP116866	2
SP116878	3
SP116891	1
SP116902	2
SP116909	4
SP116913	4
SP116927	8
SP116946	83
SP116949	423
SP116950	34
SP116962	30
SP116963	8
SP116968	31
SP116985	16
SP116991	27
SP117001	24
SP117003	43
SP117017	70
SP117031	28
SP117037	60
SP117040	32
SP117043	17
SP117057	231
SP117076	16
SP117079	2
SP117085	1
SP117086	29
SP117108	21
SP117113	14
SP117124	145
SP117126	97
SP117127	11
SP117136	9
SP117158	36
SP117165	69
SP117189	84
SP117201	70
SP117215	167
SP117217	11
SP117223	32
SP117228	39
SP117244	41
SP117247	102
SP117250	36
SP117257	8
SP117260	177
SP117261	36
SP117294	5
SP117309	87
SP117312	37
SP117331	17
SP117332	40
SP117340	154
SP117369	103
SP117370	7
SP117376	64
SP117378	4
SP1174	81
SP117408	23
SP117412	62
SP117425	167
SP117463	105
SP117482	113
SP117493	3
SP117509	43
SP117538	257
SP117552	48
SP117556	57
SP117568	134
SP117586	17
SP117595	2
SP117598	13
SP117618	11
SP117621	122
SP117627	162
SP117639	269
SP117648	63
SP117650	41
SP117653	74
SP117656	85
SP117660	70
SP117661	52
SP117667	34
SP117676	16
SP117681	70
SP117698	10
SP117700	4
SP117709	76
SP117710	39
SP117712	35
SP117722	67
SP117728	52
SP117745	91
SP117758	33
SP117760	144
SP117778	65
SP117779	60
SP117785	46
SP117796	20
SP117812	28
SP117850	18
SP117878	176
SP117882	313
SP117887	85
SP117901	243
SP117911	39
SP117930	126
SP117932	40
SP117944	240
SP117949	26
SP117951	8
SP117980	75
SP117983	439
SP118015	27
SP118038	223
SP118043	18
SP118044	24
SP118048	25
SP118073	9
SP118083	449
SP11948	393
SP119755	54
SP12049	560
SP120755	3
SP120767	5
