sample_id	event_count
SP56754	70.0
SP56827	168.0
SP57024	107.0
SP57084	220.0
SP57251	138.0
SP57267	430.0
SP57450	162.0
SP57586	175.0
SP57619	272.0
SP57629	71.0
SP57651	166.0
SP57846	94.0
SP5808	574.0
SP58342	265.0
SP58668	141.0
SP58991	105.0
SP59245	396.0
SP59300	201.0
SP59400	116.0
SP59452	46.0
SP59803	166.0
SP61453	192.0
SP61703	257.0
SP61713	159.0
SP6223	225.0
SP62616	170.0
SP63356	332.0
SP63546	626.0
SP63796	207.0
SP64036	184.0
SP65376	410.0
SP66687	96.0
SP6825	386.0
SP69077	446.0
SP69155	152.0
SP69565	238.0
SP69898	138.0
SP70082	36.0
SP70178	92.0
SP70226	120.0
SP70266	88.0
SP70465	54.0
SP70756	52.0
SP71084	124.0
SP71734	87.0
SP73263	97.0
SP73319	153.0
SP7421	165.0
SP74896	100.0
SP76001	92.0
SP76136	170.0
SP77972	88.0
SP78662	23.0
SP78663	56.0
SP78664	14.0
SP78666	48.0
SP78709	49.0
SP78726	33.0
SP78804	11.0
SP78814	49.0
SP78821	32.0
SP78823	25.0
SP78851	78.0
SP78919	19.0
SP78931	18.0
SP78955	75.0
SP79144	23.0
SP80271	105.0
SP80367	168.0
SP80754	69.0
SP80950	110.0
SP81137	109.0
SP81172	79.0
SP81440	80.0
SP81494	50.0
SP81711	99.0
SP82087	85.0
SP8229	151.0
SP82417	45.0
SP82445	90.0
SP82461	82.0
SP82532	370.0
SP83083	47.0
SP83146	46.0
SP83242	103.0
SP83312	187.0
SP83967	104.0
SP84491	377.0
SP84743	159.0
SP84922	1138.0
SP84962	372.0
SP85130	164.0
SP85222	233.0
SP85251	134.0
SP85287	331.0
SP85379	206.0
SP8831	619.0
SP8891	188.0
SP89389	234.0
SP89687	321.0
SP90245	429.0
SP90503	229.0
SP90629	257.0
SP91265	393.0
SP91746	321.0
SP92195	156.0
SP92332	224.0
SP94236	250.0
SP95126	413.0
SP95222	339.0
SP953	219.0
SP95406	345.0
SP95646	253.0
SP96110	96.0
SP96114	57.0
SP96120	192.0
SP96136	203.0
SP96511	413.0
SP967	28.0
SP97104	60.0
SP97194	55.0
SP97685	49.0
SP98192	123.0
SP98265	278.0
SP98359	114.0
SP98843	90.0
SP98851	98.0
SP98881	74.0
SP98885	54.0
SP98887	38.0
SP98889	166.0
SP98893	77.0
SP98896	65.0
SP98933	23.0
SP98965	83.0
SP98973	108.0
SP98989	56.0
SP99053	88.0
SP99109	294.0
SP99121	99.0
SP99129	102.0
SP99177	467.0
SP99197	129.0
SP99237	92.0
SP99241	56.0
SP99313	117.0
